,Genus_species,Class,Order,Family,Genus,epithet,Species,Notes,Level_of_identification,Original_names_1,Original_names_2,Original_names_3
188,"Megaselia_""Unknown""_sp",Insecta,Diptera,Phoridae,Megaselia,NA,Megaselia,include species name?,Genus,Megaselia unknown,NA,NA
189,Megaselia_agarici,Insecta,Diptera,Phoridae,Megaselia,agarici,Megaselia agarici,NA,Species,M. agarici,Megaselia agarici,NA
190,Megaselia_albicaudata,Insecta,Diptera,Phoridae,Megaselia,albicaudata,Megaselia albicaudata,NA,Species,M. albicaudata,Megaselia albicaudata,NA
191,Megaselia_arizonensis,Insecta,Diptera,Phoridae,Megaselia,arizonensis,Megaselia arizonensis,NA,Species,M. arizonensis,Megaselia arizonensis,NA
192,Megaselia_armstrongorum,Insecta,Diptera,Phoridae,Megaselia,armstrongorum,Megaselia armstrongorum,NA,Species,M. armstrongorum,Megaselia armstrongorum,NA
193,Megaselia_atrox,Insecta,Diptera,Phoridae,Megaselia,atrox,Megaselia atrox,NA,Species,M. atrox,Megaselia atrox,NA
194,Megaselia_baileyae,Insecta,Diptera,Phoridae,Megaselia,baileyae,Megaselia baileyae,NA,Species,M. baileyae,Megaselia baileyae,NA
195,Megaselia_barberi,Insecta,Diptera,Phoridae,Megaselia,barberi,Megaselia barberi,NA,Species,M. barberi,Megaselia barberi,NA
196,Megaselia_basispinata,Insecta,Diptera,Phoridae,Megaselia,basispinata,Megaselia basispinata,NA,Species,M. basispinata,Megaselia basispinata,NA
197,Megaselia_berndseni,Insecta,Diptera,Phoridae,Megaselia,berndseni,Megaselia berndseni,NA,Species,M. berndseni,Megaselia berndseni,NA
198,Megaselia_bradyi,Insecta,Diptera,Phoridae,Megaselia,bradyi,Megaselia bradyi,NA,Species,M. bradyi,NA,NA
199,Megaselia_brejchaorum,Insecta,Diptera,Phoridae,Megaselia,brejchaorum,Megaselia brejchaorum,NA,Species,M. brejchaorum,Megaselia brejchaorum,NA
200,Megaselia_carthayensis,Insecta,Diptera,Phoridae,Megaselia,carthayensis,Megaselia carthayensis,NA,Species,M. carthayensis,Megaselia carthayensis,NA
201,Megaselia_cavifemur,Insecta,Diptera,Phoridae,Megaselia,cavifemur,Megaselia cavifemur,NA,Species,M. cavifemur,NA,NA
202,Megaselia_ciancii,Insecta,Diptera,Phoridae,Megaselia,ciancii,Megaselia ciancii,NA,Species,M. ciancii,Megaselia ciancii,NA
203,Megaselia_creasoni,Insecta,Diptera,Phoridae,Megaselia,creasoni,Megaselia creasoni,NA,Species,M. creasoni,Megaselia creasoni,NA
204,Megaselia_defibaughorum,Insecta,Diptera,Phoridae,Megaselia,defibaughorum,Megaselia defibaughorum,NA,Species,M. defibaughorum,Megaselia defibaughorum,NA
205,Megaselia_donahuei,Insecta,Diptera,Phoridae,Megaselia,donahuei,Megaselia donahuei,NA,Species,M. donahuei,Megaselia donahuei,NA
206,Megaselia_francoae,Insecta,Diptera,Phoridae,Megaselia,francoae,Megaselia francoae,NA,Species,M. francoae,Megaselia francoae,NA
207,Megaselia_friedrichae,Insecta,Diptera,Phoridae,Megaselia,friedrichae,Megaselia friedrichae,NA,Species,M. friedrichae,Megaselia friedrichae,NA
208,Megaselia_fujiokai,Insecta,Diptera,Phoridae,Megaselia,fujiokai,Megaselia fujiokai,NA,Species,M. fujiokai,Megaselia fujiokai,NA
209,Megaselia_gaunlet,Insecta,Diptera,Phoridae,Megaselia,gaunlet,Megaselia gaunlet,NA,Species,Megaselia gaunlet,M. gaunlet,NA
210,Megaselia_glabrifrons,Insecta,Diptera,Phoridae,Megaselia,glabrifrons,Megaselia glabrifrons,NA,Species,M. glabrifrons,Megaselia glabrifrons,NA
211,Megaselia_globipyga,Insecta,Diptera,Phoridae,Megaselia,globipyga,Megaselia globipyga,NA,Species,M. globipyga,NA,NA
212,Megaselia_gonzalezorum,Insecta,Diptera,Phoridae,Megaselia,gonzalezorum,Megaselia gonzalezorum,NA,Species,M. gonzalezorum,Megaselia gonzalezorum,NA
213,Megaselia_halterata,Insecta,Diptera,Phoridae,Megaselia,halterata,Megaselia halterata,NA,Species,M. halterata,Megaselia halterata,NA
214,Megaselia_hansonix,Insecta,Diptera,Phoridae,Megaselia,hansonix,Megaselia hansonix,NA,Species,M. hansonix,Megaselia hansonix,NA
215,Megaselia_hardingorum,Insecta,Diptera,Phoridae,Megaselia,hardingorum,Megaselia hardingorum,NA,Species,M. hardingorum,Megaselia hardingorum,NA
216,Megaselia_heini,Insecta,Diptera,Phoridae,Megaselia,heini,Megaselia heini,NA,Species,M. heini,Megaselia heini,NA
217,Megaselia_hendersonae,Insecta,Diptera,Phoridae,Megaselia,hendersonae,Megaselia hendersonae,NA,Species,Megaselia hendersonae,NA,NA
218,Megaselia_hentschkeae,Insecta,Diptera,Phoridae,Megaselia,hentschkeae,Megaselia hentschkeae,NA,Species,M. hentschkeae,Megaselia hentschkeae,NA
219,Megaselia_hirticaudata,Insecta,Diptera,Phoridae,Megaselia,hirticaudata,Megaselia hirticaudata,NA,Species,M. hirticaudata,Megaselia hirticaudata,NA
220,Megaselia_hoffmanorum,Insecta,Diptera,Phoridae,Megaselia,hoffmanorum,Megaselia hoffmanorum,NA,Species,M. hoffmanorum,Megaselia hoffmanorum,NA
221,Megaselia_hoggorum,Insecta,Diptera,Phoridae,Megaselia,hoggorum,Megaselia hoggorum,NA,Species,M. hoggorum,Megaselia hoggorum,NA
222,Megaselia_hoguei,Insecta,Diptera,Phoridae,Megaselia,hoguei,Megaselia hoguei,NA,Species,M. hoguei,Megaselia hoguei,NA
223,Megaselia_ilca,Insecta,Diptera,Phoridae,Megaselia,ilca,Megaselia ilca,NA,Species,M. ilca,Megaselia ilca,NA
224,Megaselia_isaacmajorum,Insecta,Diptera,Phoridae,Megaselia,isaacmajorum,Megaselia isaacmajorum,NA,Species,M. isaacmajorum,Megaselia isaacmajorum,NA
225,Megaselia_joanneae,Insecta,Diptera,Phoridae,Megaselia,joanneae,Megaselia joanneae,NA,Species,M. joanneae,Megaselia joanneae,NA
226,Megaselia_kelleri,Insecta,Diptera,Phoridae,Megaselia,kelleri,Megaselia kelleri,NA,Species,M. kelleri,Megaselia kelleri,NA
227,Megaselia_largifrontalis,Insecta,Diptera,Phoridae,Megaselia,largifrontalis,Megaselia largifrontalis,NA,Species,M. largifrontalis,Megaselia largifrontalis,NA
228,Megaselia_lombardorum,Insecta,Diptera,Phoridae,Megaselia,lombardorum,Megaselia lombardorum,NA,Species,M. lombardorum,Megaselia lombardorum,NA
229,Megaselia_losangelensis,Insecta,Diptera,Phoridae,Megaselia,losangelensis,Megaselia losangelensis,NA,Species,M. losangelensis,M. losangelensis (dark/light),Megaselia losangelensis
230,Megaselia_marquezi,Insecta,Diptera,Phoridae,Megaselia,marquezi,Megaselia marquezi,NA,Species,M. marquezi,Megaselia marquezi,NA
231,Megaselia_mikejohnsoni,Insecta,Diptera,Phoridae,Megaselia,mikejohnsoni,Megaselia mikejohnsoni,NA,Species,M. mikejohnsoni,Megaselia mikejohnsoni,NA
232,Megaselia_minuta,Insecta,Diptera,Phoridae,Megaselia,minuta,Megaselia minuta,NA,Species,Megaselia minuta,NA,NA
233,Megaselia_modesta,Insecta,Diptera,Phoridae,Megaselia,modesta,Megaselia modesta,NA,Species,Megaselia modesta,NA,NA
234,Megaselia_nigra,Insecta,Diptera,Phoridae,Megaselia,nigra,Megaselia nigra,NA,Species,M. nigra,Megaselia nigra,NA
235,Megaselia_nigriceps,Insecta,Diptera,Phoridae,Megaselia,nigriceps,Megaselia nigriceps,NA,Species,"M. ""nigriceps""",Megaselia nigriceps,NA
236,Megaselia_oxboroughae,Insecta,Diptera,Phoridae,Megaselia,oxboroughae,Megaselia oxboroughae,NA,Species,M. oxboroughae,Megaselia oxboroughae,NA
237,Megaselia_phyllissunae,Insecta,Diptera,Phoridae,Megaselia,phyllissunae,Megaselia phyllissunae,NA,Species,M. phyllissunae,NA,NA
238,Megaselia_pisanoi,Insecta,Diptera,Phoridae,Megaselia,pisanoi,Megaselia pisanoi,NA,Species,M. pisanoi,Megaselia pisanoi,NA
239,Megaselia_pleuralis,Insecta,Diptera,Phoridae,Megaselia,pleuralis,Megaselia pleuralis,NA,Species,M. pleuralis,NA,NA
240,Megaselia_pongsaiae,Insecta,Diptera,Phoridae,Megaselia,pongsaiae,Megaselia pongsaiae,NA,Species,M. pongsaiae,Megaselia pongsaiae,NA
241,Megaselia_renwickorum,Insecta,Diptera,Phoridae,Megaselia,renwickorum,Megaselia renwickorum,NA,Species,M. renwickorum,Megaselia renwickorum,NA
242,Megaselia_risoria,Insecta,Diptera,Phoridae,Megaselia,risoria,Megaselia risoria,NA,Species,M. risoria,NA,NA
243,Megaselia_rodriguezorum,Insecta,Diptera,Phoridae,Megaselia,rodriguezorum,Megaselia rodriguezorum,NA,Species,M. rodriguezorum,Megaselia rodriguezorum,NA
244,Megaselia_ruficornis,Insecta,Diptera,Phoridae,Megaselia,ruficornis,Megaselia ruficornis,NA,Species,M. ruficornis,Megaselia ruficornis,NA
245,Megaselia_rufipes,Insecta,Diptera,Phoridae,Megaselia,rufipes,Megaselia rufipes,NA,Species,M. rufipes,Megaselia rufipes,NA
246,Megaselia_sacatelensis,Insecta,Diptera,Phoridae,Megaselia,sacatelensis,Megaselia sacatelensis,NA,Species,M. sacatelensis,Megaselia sacatelensis,NA
247,Megaselia_scalaris,Insecta,Diptera,Phoridae,Megaselia,scalaris,Megaselia scalaris,NA,Species,M. scalaris,Megaselia scalaris,NA
248,Megaselia_scutellaris,Insecta,Diptera,Phoridae,Megaselia,scutellaris,Megaselia scutellaris,NA,Species,M. scutellaris,Megaselia scutellaris,NA
249,Megaselia_seaverorum,Insecta,Diptera,Phoridae,Megaselia,seaverorum,Megaselia seaverorum,NA,Species,M. seaverorum,NA,NA
250,Megaselia_seticauda,Insecta,Diptera,Phoridae,Megaselia,seticauda,Megaselia seticauda,NA,Species,M. seticauda,NA,NA
251,Megaselia_shatesae,Insecta,Diptera,Phoridae,Megaselia,shatesae,Megaselia shatesae,NA,Species,M. shatesae,Megaselia shatesae,NA
252,Megaselia_sidneyae,Insecta,Diptera,Phoridae,Megaselia,sidneyae,Megaselia sidneyae,NA,Species,M. sidneyae,Megaselia sidneyae,NA
253,Megaselia_simunorum,Insecta,Diptera,Phoridae,Megaselia,simunorum,Megaselia simunorum,NA,Species,M. simunorum,Megaselia simunorum,NA
254,Megaselia_sordida,Insecta,Diptera,Phoridae,Megaselia,sordida,Megaselia sordida,NA,Species,M. sordida,Megaselia sordida,NA
255,Megaselia_spiniclasper,Insecta,Diptera,Phoridae,Megaselia,spiniclasper,Megaselia spiniclasper,NA,Morphospecies,Megaselia spiniclasper,NA,NA
256,Megaselia_spoon,Insecta,Diptera,Phoridae,Megaselia,spoon,Megaselia spoon,NA,Morphospecies,Megaselia spoon,M. spoon,NA
257,Megaselia_steptoeae,Insecta,Diptera,Phoridae,Megaselia,steptoeae,Megaselia steptoeae,NA,Species,M. steptoeae,Megaselia steptoeae,NA
258,Megaselia_stoakesi,Insecta,Diptera,Phoridae,Megaselia,stoakesi,Megaselia stoakesi,NA,Species,M. stoakesi,Megaselia stoakesi,NA
259,Megaselia_studentorum,Insecta,Diptera,Phoridae,Megaselia,studentorum,Megaselia studentorum,NA,Species,M. studentorum,Megaselia studentorum,NA
260,Megaselia_sulphurizona,Insecta,Diptera,Phoridae,Megaselia,sulphurizona,Megaselia sulphurizona,NA,Species,M. sulphurizona,Megaselia sulphurizona,NA
261,Megaselia_tecticauda,Insecta,Diptera,Phoridae,Megaselia,tecticauda,Megaselia tecticauda,NA,Species,M. tecticauda,Megaselia tecticauda,NA
262,Megaselia_voluntariorum,Insecta,Diptera,Phoridae,Megaselia,voluntariorum,Megaselia voluntariorum,NA,Species,M. voluntariorum,Megaselia voluntariorum,NA
263,Megaselia_warreni,Insecta,Diptera,Phoridae,Megaselia,warreni,Megaselia warreni,NA,Species,M. warreni,Megaselia warreni,NA
264,Megaselia_wiegmanae,Insecta,Diptera,Phoridae,Megaselia,wiegmanae,Megaselia wiegmanae,NA,Species,M wiegmanae,Megaselia wiegmanae,NA
265,Megaselia_wongae,Insecta,Diptera,Phoridae,Megaselia,wongae,Megaselia wongae,NA,Species,M. wongae,Megaselia wongae,NA
266,Melanostoma_mellinum,Insecta,Diptera,Syrphidae,Melanostoma,mellinum,Melanostoma mellinum,NA,Species,Melanostoma mellinum,NA,NA
267,Melissodes_sp,Insecta,Hymenoptera,Apidae,Melissodes,NA,Melissodes,NA,Genus,Melissodes sp.,Mellisodes sp.,NA
268,Menozziola_sp,Insecta,Diptera,Phoridae,Menozziola,NA,Menozziola,NA,Genus,Menozziola sp,NA,NA
269,Meriola_decepta,Arachnida,Araneae,Trachelidae,Meriola,decepta,Meriola decepta,NA,Species,Meriola decepta,NA,NA
270,Meriola_sp,Arachnida,Araneae,Trachelidae,Meriola,NA,Meriola,NA,Genus,Meriola sp.,NA,NA
271,Metaltella_simoni,Arachnida,Araneae,Desidae,Metaltella,simoni,Metaltella simoni,NA,Species,Metaltella simoni,NA,NA
272,Metepeira_arizonica,Arachnida,Araneae,Araneidae,Metepeira,arizonica,Metepeira arizonica,NA,Species,Metepeira arizonica,NA,NA
273,Metepeira_crassipes,Arachnida,Araneae,Araneidae,Metepeira,crassipes,Metepeira crassipes,NA,Species,Metepeira crassipes,NA,NA
274,Metepeira_grinnelli,Arachnida,Araneae,Araneidae,Metepeira,grinnelli,Metepeira grinnelli,NA,Species,Metepeira grinnelli,NA,NA
275,Metepeira_sp,Arachnida,Araneae,Araneidae,Metepeira,NA,Metepeira,NA,Genus,Metepeira sp.,NA,NA
276,Metepeira_ventura,Arachnida,Araneae,Araneidae,Metepeira,ventura,Metepeira ventura,NA,Species,Metepeira ventura,NA,NA
277,Metopina_group,Insecta,Diptera,Phoridae,NA,NA,NA,NA,Family,Metopina group,NA,NA
278,Metopina_sp,Insecta,Diptera,Phoridae,Metopina,NA,Metopina,NA,Genus,Metopina sp,Metopina sp.,NA
279,Mexigonus_sp,Arachnida,Araneae,Salticidae,Mexigonus,NA,Mexigonus,NA,Genus,Mexigonus sp.,NA,NA
280,Microselia_sp,Insecta,Diptera,Phoridae,Microselia,NA,Microselia,NA,Genus,Microselia sp,Microselia sp.,NA
281,Mimetidae,Arachnida,Araneae,Mimetidae,NA,NA,NA,NA,Family,Mimetidae,NA,NA
282,Misumena_vatia,Arachnida,Araneae,Thomisidae,Misumena,vatia,Misumena vatia,NA,Species,Misumena vatia,NA,NA
283,Misumenoides_formosipes,Arachnida,Araneae,Thomisidae,Misumenoides,formosipes,Misumenoides formosipes,NA,Species,Misumenoides formosipes,NA,NA
284,Misumenops_californicus,Arachnida,Araneae,Thomisidae,Misumenops,californicus,Misumenops californicus,NA,Species,Misumenops californicus,NA,NA
285,Miturgudae,Arachnida,Araneae,Miturgidae,NA,NA,NA,NA,Family,Miturgudae,NA,NA
286,"Mycetophila_""BioSCAN_A1""_sp",Insecta,Diptera,Mycetophilidae,Mycetophila,spA1,Mycetophila spA1,NA,Morphospecies,Mycetophila BioSCAN sp. A1,NA,NA
287,"Mycetophila_""BioSCAN_D1""_sp",Insecta,Diptera,Mycetophilidae,Mycetophila,spD1,Mycetophila spD1,NA,Morphospecies,Mycetophila BioSCAN sp. D1,NA,NA
288,Mycetophila_fungorum,Insecta,Diptera,Mycetophilidae,Mycetophila,fungorum,Mycetophila fungorum,NA,Species,Mycetophila fungorum,NA,NA
289,Mycetophila_sepulta,Insecta,Diptera,Mycetophilidae,Mycetophila,sepulta,Mycetophila sepulta,NA,Species,Mycetophila sepulta,NA,NA
290,Mycetophila_sp,Insecta,Diptera,Mycetophilidae,Mycetophila,NA,Mycetophila,NA,Genus,Mycetophila sp.,NA,NA
291,Mycetophila_spp,Insecta,Diptera,Mycetophilidae,Mycetophila,NA,Mycetophila,NA,Genus,Mycetophila spp.,NA,NA
292,"Mycomyma_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Mycomya,sp1,Mycomya sp1,NA,Morphospecies,Mycomyma BioSCAN sp. 1,NA,NA
293,"Mycomyma_""BioSCAN""_sp_2",Insecta,Diptera,Mycetophilidae,Mycomya,sp2,Mycomya sp2,NA,Morphospecies,Mycomyma BioSCAN sp. 2,NA,NA
294,Mycomyma_sp,Insecta,Diptera,Mycetophilidae,Mycomya,NA,Mycomya,NA,Genus,Mycomyma sp.,NA,NA
295,Myolepta_cornelia,Insecta,Diptera,Syrphidae,Myolepta,cornelia,Myolepta cornelia,NA,Species,Myolepta cornelia,NA,NA
296,Myriophora_aequaliseta,Insecta,Diptera,Phoridae,Myriophora,aequaliseta,Myriophora aequaliseta,NA,Species,Myriophora aequaliseta,NA,NA
297,Myriophora_alexandrae,Insecta,Diptera,Phoridae,Myriophora,alexandrae,Myriophora alexandrae,NA,Species,Myriophora alexandiae,Myriophora alexandrae,NA
298,Myriophora_sp,Insecta,Diptera,Phoridae,Myriophora,NA,Myriophora,NA,Genus,Myriophora sp,NA,NA
299,Nausigaster_unimaculata,Insecta,Diptera,Syrphidae,Nausigaster,unimaculata,Nausigaster unimaculata,NA,Species,Nausigaster unimaculata,NA,NA
300,Neoscona_crucifera,Arachnida,Araneae,Araneidae,Neoscona,crucifera,Neoscona crucifera,NA,Species,Neoscona crucifera,NA,NA
301,Nephrotoma_suturalis_wulpiana,Insecta,Diptera,Tipulidae,Nephrotoma,suturalis,Nephrotoma suturalis,NA,Species,Nephrotoma suturalis wulpiana,NA,NA
302,Noctua_pronuba,Insecta,Lepidoptera,Noctuidae,Noctua,pronuba,Noctua pronuba,NA,Species,Noctua pronuba,NA,NA
303,Nomada_sp,Insecta,Hymenoptera,Apidae,Nomada,NA,Nomada,NA,Genus,Nomada sp.,NA,NA
304,Ocrepeira_sp,Arachnida,Araneae,Araneidae,Ocrepeira,NA,Ocrepeira,NA,Genus,Ocrepeira sp.,NA,NA
305,Ocyptamus_lemur,Insecta,Diptera,Syrphidae,Ocyptamus,lemur,Ocyptamus lemur,NA,Species,Ocyptamus lemur,NA,NA
306,Oecobiidae,Arachnida,Araneae,Oecobiidae,NA,NA,NA,NA,Family,Oecobiidae,NA,NA
307,Oecobius_navus,Arachnida,Araneae,Oecobiidae,Oecobius,navus,Oecobius navus,NA,Species,Oecobius navus,NA,NA
308,Orthonevra_flukei,Insecta,Diptera,Syrphidae,Orthonevra,flukei,Orthonevra flukei,NA,Species,Orthonevra flukei,NA,NA
309,Osmia_sp,Insecta,Hymenoptera,Megachilidae,Osmia,NA,Osmia,NA,Genus,Osmia sp.,NA,NA
310,Oxyopes_salticus,Arachnida,Araneae,Oxyopidae,Oxyopes,salticus,Oxyopes salticus,NA,Species,Oxyopes salticus,NA,NA
311,Oxyopidae,Arachnida,Araneae,Oxyopidae,NA,NA,NA,NA,Family,Oxyopidae,NA,NA
312,Oxyopus_scalaris,Arachnida,Araneae,Oxyopidae,Oxyopus,scalaris,Oxyopus scalaris,NA,Species,Oxyopus scalaris,NA,NA
313,Palpada_mexicana,Insecta,Diptera,Syrphidae,Palpada,mexicana,Palpada mexicana,NA,Species,Palpada mexicana,NA,NA
314,Papilio_cresphontes,Insecta,Lepidoptera,Papilionidae,Papilio,cresphontes,Papilio cresphontes,NA,Species,Papilio cresphontes,NA,NA
315,Papilio_zelicaon,Insecta,Lepidoptera,Papilionidae,Papilio,zelicaon,Papilio zelicaon,NA,Species,Papilio zelicaon,NA,NA
316,Paragus_haemorrhous,Insecta,Diptera,Syrphidae,Paragus,haemorrhous,Paragus haemorrhous,NA,Species,Paragus haemorrhous,NA,NA
317,Parasteatoda_sp,Arachnida,Araneae,Theridiidae,Parasteatoda,NA,Parasteatoda,NA,Genus,Parasteatoda sp.,NA,NA
318,Parasteatoda_tepidariorum,Arachnida,Araneae,Theridiidae,Parasteatoda,tepidariorum,Parasteatoda tepidariorum,NA,Species,Parasteatoda tepidariorum,NA,NA
319,Pardosa_californica,Arachnida,Araneae,Lycosidae,Pardosa,californica,Pardosa californica,NA,Species,Pardosa californica,NA,NA
320,Pellenes_sp,Arachnida,Araneae,Salticidae,Pellenes,NA,Pellenes,NA,Genus,Pellenes,NA,NA
321,Perdita_sp,Insecta,Hymenoptera,Andrenidae,Perdita,NA,Perdita,NA,Genus,Perdita sp.,NA,NA
322,Pero_behrensaria,Insecta,Lepidoptera,Geometridae,Pero,behrensaria,Pero behrensaria,NA,Species,Pero behrensaria,NA,NA
323,Peucetia_sp,Arachnida,Araneae,Oxyopidae,Peucetia,NA,Peucetia,NA,Genus,Peucetia sp.,NA,NA
324,Phalacrotophora_halictorum,Insecta,Diptera,Phoridae,Phalacrotophora,halictorum,Phalacrotophora halictorum,NA,Species,Phalacrotophora halictorum,NA,NA
325,Phidipppus_adumbratus,Arachnida,Araneae,Salticidae,Phidippus,adumbratus,Phidippus adumbratus,NA,Species,Phidipppus adumbratus,NA,NA
326,Phidippus_audax,Arachnida,Araneae,Salticidae,Phidippus,audax,Phidippus audax,NA,Species,Phidippus audax,NA,NA
327,Phidippus_sp,Arachnida,Araneae,Salticidae,Phidippus,NA,Phidippus,NA,Genus,Phidippus,NA,NA
328,Philodromidae,Arachnida,Araneae,Philodromidae,NA,NA,NA,NA,Family,Philodromidae,NA,NA
329,Phoebis_sennae,Insecta,Lepidoptera,Pieridae,Phoebis,sennae,Phoebis sennae,NA,Species,Phoebis sennae,NA,NA
330,Pholcidae,Arachnida,Araneae,Pholcidae,NA,NA,NA,NA,Family,Pholcidae,NA,NA
331,Pholcus_phalangioides,Arachnida,Araneae,Pholcidae,Pholcus,phalangioides,Pholcus phalangioides,NA,Species,Pholcus phalangioides,NA,NA
332,"Phora_""BioSCAN""_sp",Insecta,Diptera,Phoridae,Phora,NA,Phora,NA,Genus,Phora UNK,NA,NA
333,Phora_americana,Insecta,Diptera,Phoridae,Phora,americana,Phora americana,NA,Species,Phora americana,NA,NA
334,Phora_coangustata,Insecta,Diptera,Phoridae,Phora,coangustata,Phora coangustata,NA,Species,Phora coangustata,NA,NA
335,Phora_cristipes,Insecta,Diptera,Phoridae,Phora,cristipes,Phora cristipes,NA,Species,Phora cristipes,NA,NA
336,Phora_sp,Insecta,Diptera,Phoridae,Phora,NA,Phora,NA,Genus,Phora sp,NA,NA
337,Phora_sp_1,Insecta,Diptera,Phoridae,Phora,sp1,Phora sp1,NA,Morphospecies,Phora sp 1,Phora sp1,NA
338,Phoridae,Insecta,Diptera,Phoridae,NA,NA,NA,NA,Family,UNKNOWN phorid,NA,NA
339,Phortica_sp,Insecta,Diptera,Drosophilidae,Phortica,NA,Phortica,NA,Genus,Phortica sp.,NA,NA
340,"Phronia_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Phronia,sp1,Phronia sp1,NA,Morphospecies,Phronia BioSAN sp. 1,NA,NA
341,Pieris_rapae,Insecta,Lepidoptera,Pieridae,Pieris,rapae,Pieris rapae,NA,Species,Pieris rapae,NA,NA
342,Platycheirus_confusus,Insecta,Diptera,Syrphidae,Platycheirus,confusus,Platycheirus confusus,NA,Species,Platycheirus confusus,NA,NA
343,Platycheirus_obscurus,Insecta,Diptera,Syrphidae,Platycheirus,obscurus,Platycheirus obscurus,NA,Species,Platycheirus obscurus,NA,NA
344,Plexippus_paykulli,Arachnida,Araneae,Salticidae,Plexippus,paykulli,Plexippus paykulli,NA,Species,Plexippus paykulli,NA,NA
345,Poanes_melane,Insecta,Lepidoptera,Hesperiidae,Poanes,melane,Poanes melane,NA,Species,Poanes melane,NA,NA
346,Pontia_protodice,Insecta,Lepidoptera,Pieridae,Pontia,protodice,Pontia protodice,NA,Species,Pontia protodice,NA,NA
347,Psectrosciara_sp_nov,Insecta,Diptera,Scatopsidae,Psectrosciara,sp1,Psectrosciara sp1,NA,Morphospecies,Psectrosciara sp.nov.,NA,NA
348,Pseudacteon_amuletum,Insecta,Diptera,Phoridae,Pseudacteon,amuletum,Pseudacteon amuletum,NA,Species,Pseudacteon amuletum,NA,NA
349,Pseudacteon_californiensis,Insecta,Diptera,Phoridae,Pseudacteon,californiensis,Pseudacteon californiensis,NA,Species,Pseudacteon californiensis,NA,NA
350,Pseudacteon_crawfordi,Insecta,Diptera,Phoridae,Pseudacteon,crawfordi,Pseudacteon crawfordi,NA,Species,Pseudacteon crawfordi,NA,NA
351,Pseudacteon_long_setae,Insecta,Diptera,Phoridae,Pseudacteon,NA,Pseudacteon,NA,Genus,Pseudacteon long setae,NA,NA
352,Pseudodoros_clavatus,Insecta,Diptera,Syrphidae,Pseudodoros,clavatus,Pseudodoros clavatus,NA,Species,Pseudodoros clavatus,NA,NA
353,Psilochorus_sp,Arachnida,Araneae,Pholcidae,Psilochorus,NA,Psilochorus,NA,Genus,Psilochorus,NA,NA
354,Puliciphora_occidentalis,Insecta,Diptera,Phoridae,Puliciphora,occidentalis,Puliciphora occidentalis,NA,Species,Puliciphora occidentalis,NA,NA
355,Puliciphora_sp,Insecta,Diptera,Phoridae,Puliciphora,NA,Puliciphora,NA,Genus,Puliciphora,Puliciphora sp,NA
356,Puliciphora_sp_2,Insecta,Diptera,Phoridae,Puliciphora,sp2,Puliciphora sp2,NA,Morphospecies,Puliciphora sp 2,NA,NA
357,Pyrgus_albescens,Insecta,Lepidoptera,Hesperiidae,Pyrgus,albescens,Pyrgus albescens,NA,Species,Pyrgus albescens,NA,NA
358,Quateiella_quatei,Insecta,Diptera,Scatopsidae,Quateiella,quatei,Quateiella quatei,NA,Species,Quateiella quatei,NA,NA
359,Reo_eutypus,Arachnida,Araneae,Mimetidae,Reo,eutypus,Reo eutypus,NA,Species,Reo eutypus,NA,NA
360,Rhinoleucophenga_americana,Insecta,Diptera,Drosophilidae,Rhinoleucophenga,americana,Rhinoleucophenga americana,NA,Species,Rhinoleucophenga americana,NA,NA
361,Rhinoleucophenga_bivisualis,Insecta,Diptera,Drosophilidae,Rhinoleucophenga,bivisualis,Rhinoleucophenga bivisualis,NA,Species,Rhinoleucophenga bivisualis,NA,NA
362,Salticidae,Arachnida,Araneae,Salticidae,NA,NA,NA,NA,Family,Salticidae,NA,NA
363,Scaeva_pyrastri,Insecta,Diptera,Syrphidae,Scaeva,pyrastri,Scaeva pyrastri,NA,Species,Scaeva pyrastri,NA,NA
364,Scaptomyza_adusta,Insecta,Diptera,Drosophilidae,Scaptomyza,adusta,Scaptomyza adusta,NA,Species,Scaptomyza adjusta,Scaptomyza adusta,NA
365,Scaptomyza_apicata,Insecta,Diptera,Drosophilidae,Scaptomyza,apicata,Scaptomyza apicata,NA,Species,Scaptomyza apicata,NA,NA
366,Scaptomyza_flava,Insecta,Diptera,Drosophilidae,Scaptomyza,flava,Scaptomyza flava,NA,Species,Scaptomyza flava,NA,NA
367,Scaptomyza_graminum,Insecta,Diptera,Drosophilidae,Scaptomyza,graminum,Scaptomyza graminum,NA,Species,Scaptomyza graminum,NA,NA
368,Scaptomyza_pallida,Insecta,Diptera,Drosophilidae,Scaptomyza,pallida,Scaptomyza pallida,NA,Species,Scaptomyza pallida,NA,NA
369,Scaptomyza_paradusta,Insecta,Diptera,Drosophilidae,Scaptomyza,paradusta,Scaptomyza paradusta,NA,Species,Scaptomyza paradusta,NA,NA
370,Scaptomyza_paravittata,Insecta,Diptera,Drosophilidae,Scaptomyza,paravittata,Scaptomyza paravittata,NA,Species,Scaptomyza paravittata,NA,NA
371,Scaptomyza_sp,Insecta,Diptera,Drosophilidae,Scaptomyza,NA,Scaptomyza,NA,Genus,Scaptomyza sp.,NA,NA
372,Scaptomyza_terminalis,Insecta,Diptera,Drosophilidae,Scaptomyza,terminalis,Scaptomyza terminalis,NA,Species,Scaptomyza terminalis,NA,NA
